judul,sumber,tanggal,episode,label_leksikon,label_audit
"Nyolong Pasir Laut Batam, Kapal Singapura 10 Kali Bolak-balik dalam Sebulan",finance.detik.com,2024-10-12 07:00:00,E3_ekspor_dibuka,netral,
"Foto : Ekspor Pasir Laut: Dilarang Megawati dan SBY, Diizinkan Lagi di Era Jokowi Halaman 2",Kompas.com,2024-09-15 07:00:00,E3_ekspor_dibuka,netral,
"Dilarang Sejak 2007, Jokowi Terbitkan PP Izinkan Ekspor Pasir Laut",Kupas Tuntas,2023-05-29 07:00:00,E1_pp_disahkan,netral,
KKP yakinkan sedimentasi laut tak rusak ekosistem,kalbar.antaranews.com,2023-07-26 07:00:00,E1_pp_disahkan,mendukung,
"Penolakan Sedimentasi Pasir Laut di Numbing Tak Jelas, DKP sebut Tak Pernah Beri Rekomendasi",Jawa Pos,2026-07-09 07:00:00,E4_pasca_putusan_ma,menolak,
Indonesia buka keran ekspor pasir laut: Mengapa pegiat lingkungan menolak dan negara mana yang diuntungkan?,BBC,2023-05-31 07:00:00,E1_pp_disahkan,menolak,
"Polemik Rencana Ekspor Pasir Laut, Herry Tousa: Kami Mendukung Asalkan dengan Kajian Matang dan Tidak Buru-buru Cabut Moratorium",Energy World Indonesia,2023-06-07 07:00:00,E1_pp_disahkan,campuran,
"Selain Yusril Ihza, 3 Nama Ini Diduga Ikut Bermain di Penambangan Pasir Laut",Tempo.co,2024-10-06 07:00:00,E3_ekspor_dibuka,menolak,
"Penambangan Pasir Laut Ilegal Sudah Terjadi di Banyak Tempat, DFW: Ada Ekspor ke Sebuah Negara di Asia dari Natuna",Tempo.co,2024-11-22 05:07:37,E3_ekspor_dibuka,netral,
Ini Pemanfaatan Hasil Sedimentasi Laut yang Diatur di PP 26/2023,kontan.co.id,2023-07-26 07:00:00,E1_pp_disahkan,netral,
"Terbitkan PP Tambang Pasir Laut, Pemerintah Tak Belajar dari Kasus Pulau Kodingareng",Mongabay.co.id,2023-08-21 07:00:00,E1_pp_disahkan,menolak,
Kilas Balik Aturan Ekspor Pasir Laut yang Dibatalkan MA,Tempo.co,2025-06-26 07:00:00,E4_pasca_putusan_ma,netral,
KKP Hentikan Operasional Kapal Sedot Pasir Laut Milik PT Titan Wijaya di Bengkulu - betv.disway.id,Disway,2024-10-19 07:00:00,E3_ekspor_dibuka,netral,
