judul,sumber,tanggal,episode,label_leksikon,label_audit
"Buka Kran Ekspor Pasir Laut: Jokowi Dicaci, Megawati Dipuji",Kabar24,2023-06-05 07:00:00,E1_pp_disahkan,campuran,
"Pembukaan Kembali Ekspor Pasir Laut: Analisis Dampak Lingkungan, Sosial Ekonomi Masyarakat, dan Ekonomi Negara",Kompasiana.com,2025-02-10 08:00:00,E3_ekspor_dibuka,netral,
"Ekspor Pasir Laut Cuma Bikin Alam Bangka Belitung Makin Rusak, Pj Gubernur Baiknya Urus Kolong Besar",Bangkapos.com,2023-06-08 07:00:00,E1_pp_disahkan,menolak,
Nelayan Kabupaten Bintan Desak Pencabutan PSN dan Izin Tambang Pasir Laut,edisi.co,2026-06-05 07:00:00,E4_pasca_putusan_ma,menolak,
Begini Pengaturan Tentang Pengelolaan Pasir Laut yang Baru,Hukumonline,2023-07-06 07:00:00,E1_pp_disahkan,netral,
"Izin Ekspor Dibuka, DPMPTSP Kabupaten Serang Prediksi akan Ada Investor Tambang Pasir Laut",Tribunbanten.com,2023-06-23 07:00:00,E1_pp_disahkan,netral,
"Penyedotan pasir laut di perairan Lombe, Buton",ANTARA Foto,2024-04-30 07:00:00,E2_aturan_persiapan,netral,
Ekspor Pasir dan Proyek-Proyek di Rempang |,Republika.id,2023-06-02 07:00:00,E1_pp_disahkan,netral,
Sejarah Ekspor Pasir Indonesia yang Bikin Daratan Singapura Makin Luas,Kompas.com,2023-05-29 07:00:00,E1_pp_disahkan,netral,
Protes Susi Pudjiastuti pada Jokowi Beri Izin Ekspor Pasir Laut: Sedimen Juga Penting untuk Kita - disway.id,Disway,2024-09-19 07:00:00,E3_ekspor_dibuka,menolak,
"Pasir Laut, Putusan MA, dan Nasib Ekspornya: Apa yang Sebenarnya Terjadi? Halaman all",Kompasiana.com,2025-06-29 07:00:00,E4_pasca_putusan_ma,netral,
Presiden Jokowi Bantah Buka Keran Ekspor Pasir Laut | Menyapa Pagi SIN PO TV,SinPo.id,2024-09-19 07:00:00,E3_ekspor_dibuka,netral,
Ekspor Pasir Laut Masih Belum Diizinkan,liputan6.com,2023-07-06 07:00:00,E1_pp_disahkan,netral,
"Gara-gara Bisnis Pasir Laut, Gelar Profesor Yusril Dipertanyakan, Ferdinand: Harusnya Lebih Paham Dampak Kerusakannya",FAJAR,2024-10-04 07:00:00,E3_ekspor_dibuka,menolak,
"Tambang Pasir Laut Ancam Pulau Babi di Karimun, Aktivis Desak Pemerintah Bertindak",Jurnal Terkini,2025-09-23 07:00:00,E4_pasca_putusan_ma,menolak,
"Pulau di Rupat Terancam Tenggelam, Amir Hamzah Minta Presiden Cabut Izin Konsesi Pasir Laut PT Logo Mas Utama",CAKAPLAH.com,2022-02-02 08:00:00,E0_sebelum_pp,menolak,
Relasi Singapura - Indonesia dalam Sejarah Ekspor Pasir Laut,Katadata.co.id,2023-06-13 07:00:00,E1_pp_disahkan,netral,
"Kapal Malaysia Diduga Curi Pasir Laut di Batam, lalu Dijual ke Singapura",Kompas.com,2024-10-18 07:00:00,E3_ekspor_dibuka,netral,
"Modus Kapal Singapura Curi Pasir di Batam, 10 Ribu Meter Kubik Sekali Angkut!",Suara.com,2024-10-13 07:00:00,E3_ekspor_dibuka,netral,
Pengamat UGM: Stop Ekspor Pasir Laut,Universitas Gadjah Mada,2024-09-19 07:00:00,E3_ekspor_dibuka,menolak,
"Singapura Maling Pasir Laut RI, Sedot 100 Ribu Meter Kubik Sebulan",CNBC Indonesia,2024-10-13 07:00:00,E3_ekspor_dibuka,netral,
Pemerintah Buka Jalan Ekspor Pasir Laut,Kompas.id,2024-09-09 07:00:00,E3_ekspor_dibuka,netral,
"Jokowi Bilang Sedimen Beda dari Pasir Laut, Susi Sebut Sedimen Apapun Sangat Penting",Tempo.co,2024-09-20 07:00:00,E3_ekspor_dibuka,netral,
Bakamla Amankan 3 Kapal Penambangan Pasir Ilegal di Perairan Karimun,detikcom,2024-06-28 07:00:00,E2_aturan_persiapan,netral,
Kapal Bendera Belanda Ketangkep Basah Lagi Keruk Pasir Laut Jakarta,VIVA.co.id,2023-10-28 07:00:00,E1_pp_disahkan,netral,
Pengamat soal Ekspor Pasir Laut: Sama Saja Jual Tanah Air,finance.detik.com,2024-09-18 07:00:00,E3_ekspor_dibuka,menolak,
2 Penambang Pasir Ilegal di Lebak Ditetapkan Jadi Tersangka,detikNews,2026-07-15 07:00:00,E4_pasca_putusan_ma,netral,
"Benarkah Demi Kesehatan Laut, Pemanfaatan Sedimentasi Laut Dilakukan?",Mongabay.co.id,2023-06-02 07:00:00,E1_pp_disahkan,netral,
"Tambang Rakyat Pasir Laut Edy Anwar Bantah Ilegal, Klaim Miliki Izin dari Dinas ESDM Kepri",Batamnews,2025-07-19 07:00:00,E4_pasca_putusan_ma,netral,
"Hukum Ekspor Pasir Sedimentasi, Ini Kata LBM PBNU",NU Online Lampung,2023-08-05 07:00:00,E1_pp_disahkan,netral,
Jokowi Buka Keran Ekspor Pasir Laut: Pulau-pulau Kecil Terancam Tenggelam,suara.com,2024-09-25 07:00:00,E3_ekspor_dibuka,menolak,
CAKAP RAKYAT: Tambang Pasir Laut dan Reklamasi Daratan Singapura,CAKAPLAH.com,2023-05-31 07:00:00,E1_pp_disahkan,netral,
Proyek Pengelolaan Sedimentasi Laut di Demak akan Direalisasikan Mulai Agustus - Bisnis.com,Bisnis.com - Semarang,2024-05-27 07:00:00,E2_aturan_persiapan,netral,
"Kapal Keruk Singapura Operasi Ilegal, Sedot 10 Ribu Meter Kubik Pasir dalam 9 Jam",Portal Hukum,2025-06-26 07:00:00,E4_pasca_putusan_ma,netral,
"Jika Sedimen di Laut untuk Uruk Pantai, Ahli: Bisa Amblas Kena Ombak",Tempo.co,2024-09-26 07:00:00,E3_ekspor_dibuka,menolak,
