judul,sumber,tanggal,tautan,relevan,label,n_tolak,n_dukung,episode
Penampakan Kapal Angkut Pasir Ilegal Pulau Rupat Riau yang Diamankan KKP,detikNews,2022-02-14 08:00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxPS1ZTdDFWRkFzcnJrMk83X2VyTVBrdUt4MnpaaC0yZUQ0X2JtNkY0ZGl4Sng2b2lKdks3cHZOUFhUbDJxT19PS2ZvR0dnLVZURm96UzI4OG9SSTM1dUl1MjhaR0dSOFF4dzV4Wl9vMVUwaV9uWGZ6RWhIS3lXU3ZDX1M1cWpwMXB3LTBna2hqMEZlV0l3SkNMeW9NTzctM2ZqM0NXNkZKV1VreGMzSEE2WmpB0gG3AUFVX3lxTE5HR18tQm5lQzg3QU5BSDAzdGY3clM2TTJFSlFZX0FRR3hsMTZZYWtteWJOeVgxM2x1QTM0YjlIaDR1MFdvdGVSN2lCSmlibUZPTGFsTGtOWmZ4LTNNUnJNZ2gyUDFNVkQySlhBMzV6UFdoZGM5b1lOdERIblZDSXBMbi1iX1BYSmFXckYtWEFFSGRjUkNyLUhubjN5czY1Q0xqcEczbFlSSHRUYW16MGJOQTBNM29kSQ?oc=5,True,netral,0,0,E0_sebelum_pp
"KKP Tangkap Kapal Angkut Pasir Ilegal di Riau, Pensiunan TNI Ikut Dibekuk",detikNews,2022-02-14 08:00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxPZnVDaGYwb2d3M092Y1dxdlUxSDN5TW4zaFMwbTNVdTk2TGlhQnczcmhuay1kYy1aX3dHbEZWYTFSakh1WEcxMWM0TGUwSVZ1dEdhUUdhdzQ0aWtUWTR6WHhpSGRfN1dFM2xTdEZONF9nbmxkYlYxTVRRS0pld05RM0ZIMEVweEZFMDBUa1kyb2QzYmU4cHV2bWFlNjYybUNLdGVFNE1YYzlMa3pxX2trMFZB0gG3AUFVX3lxTE5Da09ReGEyUVRHcHNnNDlwbXkzZ2NGQm1nT3FrbjVpeHBCakJSNUpJblpJRXF6Q2puYjlHd0RaemFIenZib1BoNXRZdmJ1dzFLM3Buajd4YXBDNnZWbFlSalg1RlgxUTMxcWdLZ3ozUjc3Z3A2VXVjbUk2ai1JMTJ1UTNoMWF2YTRESVpXd3puMjBQRFNYU0h6ellRQjQzVldVSVN0VVRGWjhrcFJxUERvWFBZSWQ0TQ?oc=5,True,netral,0,0,E0_sebelum_pp
"Muat 1.500 Kubik Pasir Laut, Kapal Pengeruk Ditangkap di Bengkalis",Riauin.com,2022-02-14 08:00:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxOcGZQNG41Zzg3VTVkUFVxdUhONFRQa193aWJvendHUWk1dlV3Wkh2Sm4wR0YxTHN3RDFCejJoc0FwcDRBal96SVhtWUkwSUJUVm1JdkEteWpiTFZfdHlHM0RhWnhDanhJWnUwa3RwU2locFpXY2doQk9MWS11VHFocHp5dmRyaF9ZSzdzTmk3SzdEYzJ1WnlwbXYyTGp0WUluNnNKblZRZUJ5MFl3YjNPdWZJWVXSAboBQVVfeXFMTWhfVndRSTRlUWVhakNzYXpORTctQUJiWEVhSUd0MkoxeGRIRThmektwX1lfNThQZUtZa3pMaTZOS3BQZlJtcVBtS0RQSXY3eWlKUXBNUndLdUFFUFVTR0EtOXRUQnF1QjZ5cFVJZEN1SkdGemg0aG9HU2hfMDJHSm1KeG5kdndtYmpCQ1JhenhBazZnM2ZWZVAwV0JCMU85Zl9KV2JwZ3ZSV2hGY1pMaVJ4aDUwN2RDZFhn?oc=5,True,netral,0,0,E0_sebelum_pp
KKP Hentikan Penambangan Pasir PT Logomas Utama di Pulau Rupat,Riau Online,2022-02-14 08:00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxQV1ZpWDk4MU8wMTZxNDIyeVhHNlZ5TVN0RjRnNGh3bEw0M0htS0RZZzNCdXR1MC1aREh2eFBtdzhjRUNaSnk1TWxIMTJkNGs3RDZWRGVhQXU1Q2s3TVVoZWNSSTkzNGdQTkx5cWpfSlE4RDhkeWsya1hGMVlkazduZ2R3a25hMmd4UHM3Zld3elhPVGNpUVBqZ3REUDMtZzZIRTlYSHJPUTFyWEdpWHBWQUx3?oc=5,True,netral,0,0,E0_sebelum_pp
Dirjen KKP Tinjau Kapal KNB-6 yang Akan Digunakan Angkut Pasir Hasil Penambangan Ilegal,HALLORIAU.COM,2022-02-14 08:00:00,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPQklTajVCUmRBWVdkQlQta1hOZmhzdmtweGRsVm84NmdXMEhTWFl5U1g1WXAtNUhEZUVQeGl4SUx5ZHpKa051dkxWX1pGSnZpQmNkWEI2a0lqTHc0RnJObmRtZmlibDk2UlRMUWVOQTZWX1NTOEpKdW1BWDl2XzhOZGNsWkE3YTV5dVVteHB5MjFnU24waHZGX290VWl6Z2JELUVCOHNpYjBzMWJqaUxuZkNIYXJCNElUV1U0NHJyNEJEcmhDZWxZemc0LUNfeHR3ZFlDTnR3?oc=5,False,di_luar_topik,0,0,E0_sebelum_pp
"Penghentian Kapal Keruk Pasir KNB6 PT Logomas Utama, Diduga KKP Meninggalkan Kapal Setengah Jalan Tanpa Membawa Dokumen Perusahaan",riau24.com,2022-02-15 08:00:00,https://news.google.com/rss/articles/CBMikgJBVV95cUxNZ3c0LXNyT2JLLU9pZlMtbHMyU0xTdG43b29XRWdQclBjQkhqbWM2TXhldXhOTE9IaG96ZHdxN01CYUtaczFKNkF3ay1lSk1ERVNIQThCZXRCVXZuZ3lmOGZRMHVMSF9fMkhZWjJnVE5XVzJiaXFGZWc0TlNvcmtMOENSYld1ZXFxOVd4V09hbnFBanFBam42UzFlUGtPWGlqZDYtcHloTzB4MjlYbnJNbERKeFc2ZUtyMUN4ajJ5UVB6Y0VFRGRpekNCSHhzT0JCMXlfdXJFZExpRGU5Qno1QTRWS2c4QUp6aExJZEN5amhmcndGRHh6Q2UxVF9qZFNrSVR1T3VxcTdPaVR6SmRqVUhB?oc=5,True,netral,0,0,E0_sebelum_pp
"Keruk pasir dan dituduh hilangkan separuh pulau, PT Logo Mas minta keadilan ke Jokowi",riau.antaranews.com,2022-02-15 08:00:00,https://news.google.com/rss/articles/CBMixAFBVV95cUxOQ3VLRk5taFNTT3dsTHpjQlVydndRM3JhOGJwd3ZKd21sdEtrTkxtMVJWTk1vTUEzdG81NHdQbGxXVHBfbm9CV2k1UTdwbjZWZ1hYZFRsNUV1aXlrODdGX0RqeFV0WUxYeFpENGJXMkhrZWxNNlpRZ2VrRkN1VzU2d1JJdjBrd0pqVWxRQlJPWmFrdldzTlZkcE1YRFhVMkxXU201aUhaLUFza3dLLXUtWlJFcEJkTllHV2N2eHNzekM3Q3Y2?oc=5,True,netral,0,0,E0_sebelum_pp
Operasi Penambangan Pasir Laut PT Logo Mas Yang Dihentikan Kementerian KKP Ternyata Miliki Izin Di Riau,tvOneNews,2022-02-16 08:00:00,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQM3h4MWVVYW5RWWItUGVwUS1fT3RkNGJJdDQwc1FodV9TNEZCcTNRTkk5QlRxSlU0Z1IzOWJlYXNJUk9wME5nT3FqQmtBd1AwenRVNlJmUmRlRWlHMFJaSThDZjhHMnZRWnJVMjA5NG1RNmx0NU5WaWlkYkZRXy05NndPZFE5YmhEdmx4eDItSzEwVXFNVjBiX0xxRGpqU2tabU1QaExoSnNkSzJLN3lzckhqVlllbmUxQ1NhZGUwOG02QTNNLWlsMS1PZTVfcU5uZ0xRcFBPY1oyby1EcEtqajNIVVFiT3E1b0p5OXIxd9IB6wFBVV95cUxQeGotTHRJYlpWY0NvQ3EzejR6blVaeVFmMWFZTVNObndtN2hfR281c05WeDdHeVl2dFhhYlludXRnekdiYlg4MUlRVi1FNFM1eFh5ZUlsVFY0Nk9PNnJXekZVT2U1eTFlZUZNa28tWDhCN05EdEdrYlE3aTg0Z2JVbjFmTkZFOTRLb2FuRnF6SjE2clByU0lHU3pITGJGTFdGRGVaTzY3eGx6bFlMQkNySGl3LW0zb0pld3RMSTR5QWU0Rm4xcEFRR0pOOU5ueGphU2J5WDdkRGRscV9ZN21jNjVtS19QV2hxcHdR?oc=5,True,netral,0,0,E0_sebelum_pp
"Nikah Lagi Tanpa Sepengetahuan Istri, Pria Ini Ditangkap Polisi",SINDOnews Daerah,2022-02-16 08:00:00,https://news.google.com/rss/articles/CBMiugFBVV95cUxQRmxrOS04MEVjNnRDRmh3VmdsaTF1WHZKTlBUWElacEgxNFNkZWl4TXFpdl85dUFqTnVlN3RheDR2bFFLZkZLUTRPYlYxdDZKWlRQN3IyTFV6ZFJPTmhPdnFDSkhCSldoRlFVNHhqeEFzcndPdmxlWGcwMjQzYng2LVVscURoV2xDWDIySXVibkc5ZWdEOUVHQzlROGJ0dVROVU14R3U5NTZsT0h6RGZOdEpVU3NyV0FqSHfSAb8BQVVfeXFMTnRvTElRRnZlN09lYUtZZ1NtMUJaRElFaGl0dUV5YlV4RENtTHBJb3F6VjJJVGJkbEh1YXlCVWpweV9lTEZfOU85Nzc0d3hFejBiNWJtMVJLbDhtV1FCS0lPRFpabmlLUWM5YW9VbTZZWmswOUhqRnVfMFU3M3k1S3Z2a3RTVnJRZXQxMS1WSlMwSlR4QlZmNGRVTFlGTVRBdS1Sc1RBV19PcHJwZXR5X3hfOFVHRkM3Zk5IZUxTUlU?oc=5,False,di_luar_topik,0,0,E0_sebelum_pp
"KKP Stop Tambang Pasir Laut PT Logomas Utama di Rupat, YLBHR: Presiden Merespon!",RiauBISA.com,2022-02-16 08:00:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxPcmpNdS1mc0Z4TnhfcVdibHlzWmREVGkxTzB6S1Z5azg2MlItRmp4R2xXUU9hdUJDN3puU0pxUFRoSTAxeWtRYW85b2V2V2lEYl9YTUFtQW43RXNUYUtZaTJNYllLSjdQRXdwMXZ4M19hbzRBLWZVZlIzVzZ1OGdweEJiRWhxYTJCTzlNVnRzWEhxQ0loX21HZlRZTWtleC1NRndoTW9TZlBtTVl6Z05teS15YWQ?oc=5,True,menolak,1,0,E0_sebelum_pp
